epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,918.169,0.51404,1.58678,0.00217,1,0.94215,0.99056,0.95873,0.319,2.40446,0.00178,0.000973861,0.000973861,0.000973861
44,940.684,0.47998,1.6389,0.00214,0.93088,0.95833,0.98242,0.88836,0.46659,2.42701,0.00253,0.000957358,0.000957358,0.000957358
45,962.593,0.4623,1.58545,0.00217,1,0.86745,0.97614,0.879,0.46849,2.38733,0.00254,0.000940855,0.000940855,0.000940855
46,985.072,0.46007,1.63989,0.00206,0.95655,0.875,0.97607,0.92969,0.3258,2.27218,0.00184,0.000924352,0.000924352,0.000924352
47,1006.77,0.4649,1.30244,0.00181,0.95458,0.87581,0.97322,0.93867,0.35816,2.26673,0.00193,0.000907848,0.000907848,0.000907848
48,1029.07,0.41213,1.41866,0.0017,0.92505,0.875,0.96294,0.88527,0.4064,2.21049,0.00209,0.000891345,0.000891345,0.000891345
49,1051.38,0.44548,1.44737,0.00195,0.94819,0.83333,0.95877,0.88334,0.41008,2.16823,0.00218,0.000874842,0.000874842,0.000874842
50,1074.44,0.40689,1.36615,0.00174,0.83119,0.95833,0.96494,0.92923,0.32905,2.03575,0.002,0.000858338,0.000858338,0.000858338
51,1097.1,0.43139,1.34717,0.00195,0.99073,0.83333,0.97604,0.94887,0.31811,1.95889,0.00191,0.000841835,0.000841835,0.000841835
52,1119.78,0.38555,1.3591,0.00173,0.95607,0.90719,0.9787,0.94457,0.32002,1.9105,0.00187,0.000825332,0.000825332,0.000825332
53,1142.28,0.37124,1.26904,0.00169,0.99368,0.875,0.97738,0.94587,0.30964,1.85207,0.00181,0.000808828,0.000808828,0.000808828
54,1164.35,0.37205,1.34362,0.00176,0.99926,0.95833,0.987,0.93227,0.33723,1.78497,0.00176,0.000792325,0.000792325,0.000792325
55,1185.97,0.3752,1.20052,0.00158,0.99176,0.95833,0.987,0.9219,0.33348,1.75409,0.00167,0.000775822,0.000775822,0.000775822
56,1208.28,0.40627,1.14508,0.00194,0.88688,0.98037,0.98388,0.94825,0.31208,1.67262,0.00177,0.000759318,0.000759318,0.000759318
57,1230.05,0.39709,1.25827,0.00189,0.94291,1,0.9902,0.96747,0.31197,1.62036,0.0018,0.000742815,0.000742815,0.000742815
58,1252.48,0.35781,1.13922,0.00181,0.99055,1,0.995,0.91175,0.41522,1.61076,0.00229,0.000726312,0.000726312,0.000726312
59,1277.12,0.36705,1.166,0.00162,0.98744,1,0.995,0.9105,0.39753,1.57144,0.00215,0.000709809,0.000709809,0.000709809
60,1299.4,0.38355,1.09262,0.00167,1,0.99759,0.995,0.93048,0.37151,1.4936,0.00205,0.000693305,0.000693305,0.000693305
61,1320.59,0.44885,1.26898,0.00207,1,0.99766,0.995,0.91745,0.42403,1.48733,0.00233,0.000676802,0.000676802,0.000676802
62,1342.11,0.41576,1.07558,0.00217,0.99927,1,0.995,0.954,0.33254,1.40135,0.00185,0.000660299,0.000660299,0.000660299
63,1362.87,0.35913,0.95613,0.0015,1,0.9997,0.995,0.96913,0.28673,1.36719,0.00153,0.000643795,0.000643795,0.000643795
64,1383.48,0.42015,1.15432,0.00215,0.99543,0.95833,0.9934,0.96093,0.31269,1.36305,0.0017,0.000627292,0.000627292,0.000627292
65,1405.76,0.39172,1.00195,0.00166,0.99575,0.95833,0.9934,0.95723,0.33519,1.36519,0.00179,0.000610789,0.000610789,0.000610789
66,1426.43,0.36515,0.94469,0.00172,1,0.9955,0.995,0.93049,0.3752,1.35721,0.00187,0.000594286,0.000594286,0.000594286
67,1447.02,0.37583,0.89814,0.00159,1,0.9932,0.995,0.95332,0.31045,1.32572,0.00158,0.000577782,0.000577782,0.000577782
68,1468.01,0.39775,0.87206,0.00172,1,0.9519,0.9934,0.97348,0.24397,1.28733,0.00129,0.000561279,0.000561279,0.000561279
69,1488.83,0.36073,0.83349,0.00144,0.95998,0.99948,0.9934,0.97402,0.25245,1.28033,0.00139,0.000544776,0.000544776,0.000544776
70,1509.46,0.3206,0.90801,0.00129,1,0.94578,0.99056,0.95821,0.29922,1.29816,0.00172,0.000528272,0.000528272,0.000528272
71,1529.76,0.37194,1.01827,0.00188,0.99677,0.95833,0.99056,0.95814,0.30252,1.29919,0.00173,0.000511769,0.000511769,0.000511769
72,1550.78,0.37204,0.95149,0.00157,0.99708,0.95833,0.98929,0.97105,0.31071,1.26673,0.00168,0.000495266,0.000495266,0.000495266
73,1573.09,0.3451,0.94922,0.00174,0.99885,0.95833,0.98929,0.94626,0.3283,1.26125,0.00165,0.000478762,0.000478762,0.000478762
