epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,600.187,0.62967,0.80592,0.86587,0.94551,0.94072,0.995,0.7081,0.68768,0.99963,0.89368,0.000848969,0.000848969,0.000848969
43,616.492,0.61871,0.81853,0.8459,0.91491,1,0.995,0.70184,0.69269,0.95782,0.89743,0.000834822,0.000834822,0.000834822
44,632.526,0.58812,0.743,0.83781,0.88931,1,0.995,0.75825,0.63138,0.93445,0.90144,0.000820675,0.000820675,0.000820675
45,647.456,0.59015,0.79664,0.83472,0.88859,1,0.995,0.77488,0.60057,0.92272,0.91288,0.000806528,0.000806528,0.000806528
46,662.337,0.60029,0.74514,0.84236,0.90851,1,0.995,0.68844,0.71669,0.93588,0.9252,0.00079238,0.00079238,0.00079238
47,677.212,0.61088,0.75038,0.83481,0.91408,1,0.98333,0.62832,0.74525,0.91911,0.93089,0.000778233,0.000778233,0.000778233
48,693.838,0.56795,0.69651,0.82524,0.91255,1,0.98333,0.67409,0.70908,0.86611,0.9245,0.000764086,0.000764086,0.000764086
49,711.441,0.55379,0.70572,0.80954,0.91293,1,0.98917,0.73376,0.66756,0.80836,0.92112,0.000749939,0.000749939,0.000749939
50,729.015,0.60209,0.71127,0.84885,0.92292,1,0.995,0.74657,0.67014,0.80398,0.92567,0.000735792,0.000735792,0.000735792
51,745.82,0.57946,0.72476,0.82894,0.93726,1,0.995,0.71952,0.69662,0.80927,0.93344,0.000721645,0.000721645,0.000721645
52,760.954,0.55933,0.71268,0.83373,0.9463,1,0.995,0.71115,0.68418,0.80038,0.92819,0.000707498,0.000707498,0.000707498
53,775.356,0.57525,0.68166,0.82222,0.95198,1,0.995,0.70536,0.69402,0.84149,0.92442,0.000693351,0.000693351,0.000693351
54,790.632,0.5441,0.70199,0.83497,0.97659,1,0.995,0.70832,0.67999,0.85866,0.91459,0.000679204,0.000679204,0.000679204
55,805.205,0.57166,0.72799,0.84402,0.98594,0.97998,0.995,0.70229,0.67536,0.83993,0.91059,0.000665057,0.000665057,0.000665057
56,820.327,0.58501,0.68337,0.8334,0.98642,0.97273,0.995,0.6807,0.69999,0.82127,0.91166,0.000650909,0.000650909,0.000650909
57,834.612,0.52864,0.71824,0.8387,0.98755,0.97365,0.995,0.7197,0.6916,0.79315,0.91507,0.000636762,0.000636762,0.000636762
58,849.365,0.52317,0.66406,0.81791,0.98047,0.97569,0.995,0.75663,0.66659,0.7796,0.91522,0.000622615,0.000622615,0.000622615
59,865.647,0.56552,0.64016,0.84013,0.97597,0.97734,0.995,0.74293,0.6742,0.78401,0.91481,0.000608468,0.000608468,0.000608468
60,880.892,0.55418,0.64394,0.82922,0.9718,0.98071,0.995,0.70319,0.68725,0.80073,0.91299,0.000594321,0.000594321,0.000594321
61,897.414,0.53177,0.61,0.81405,0.96767,0.98226,0.995,0.72716,0.67646,0.76211,0.91352,0.000580174,0.000580174,0.000580174
62,912.739,0.56538,0.6657,0.82596,0.96493,0.98211,0.995,0.78569,0.63874,0.75407,0.90843,0.000566027,0.000566027,0.000566027
63,927.793,0.58371,0.63869,0.82998,0.96679,0.98066,0.995,0.8087,0.62517,0.75979,0.89615,0.00055188,0.00055188,0.00055188
64,941.938,0.54924,0.61971,0.83022,0.96961,0.98566,0.995,0.76117,0.62593,0.75161,0.89312,0.000537733,0.000537733,0.000537733
65,955.8,0.50603,0.61526,0.82892,0.97477,1,0.995,0.7507,0.66703,0.77219,0.90193,0.000523586,0.000523586,0.000523586
66,969.806,0.50589,0.58213,0.8132,0.97374,0.99862,0.995,0.73837,0.6632,0.76672,0.89849,0.000509438,0.000509438,0.000509438
67,984.01,0.5311,0.57958,0.82045,0.96003,0.99043,0.995,0.75011,0.6251,0.73041,0.89228,0.000495291,0.000495291,0.000495291
68,998.635,0.48101,0.55675,0.82605,0.97109,0.96797,0.995,0.73586,0.62582,0.70084,0.88936,0.000481144,0.000481144,0.000481144
69,1013.22,0.5428,0.61555,0.84381,0.98042,0.96336,0.995,0.75103,0.62814,0.69414,0.88836,0.000466997,0.000466997,0.000466997
70,1031.01,0.50722,0.58629,0.82049,0.97671,0.9783,0.995,0.74641,0.62143,0.69621,0.88755,0.00045285,0.00045285,0.00045285
71,1048.58,0.54428,0.57067,0.82556,0.98078,0.9912,0.995,0.7365,0.63161,0.70092,0.88688,0.000438703,0.000438703,0.000438703
72,1064.08,0.49679,0.58183,0.80623,0.97613,1,0.995,0.73017,0.64043,0.71612,0.88746,0.000424556,0.000424556,0.000424556
73,1079.07,0.49782,0.5453,0.7988,0.97296,1,0.995,0.72767,0.63785,0.69724,0.88897,0.000410409,0.000410409,0.000410409
74,1095.55,0.53204,0.58765,0.8164,0.97389,1,0.995,0.74647,0.62674,0.67718,0.88923,0.000396262,0.000396262,0.000396262
75,1110.93,0.51208,0.60137,0.82194,0.97833,0.99614,0.995,0.74218,0.6141,0.67965,0.88615,0.000382115,0.000382115,0.000382115
76,1127.35,0.49785,0.55713,0.81172,0.98333,0.9971,0.995,0.75063,0.60341,0.68592,0.88254,0.000367967,0.000367967,0.000367967
77,1141.97,0.50197,0.57634,0.82737,0.98723,0.99947,0.995,0.74776,0.60283,0.68872,0.87858,0.00035382,0.00035382,0.00035382
78,1158.4,0.47421,0.54678,0.8158,0.98247,0.9941,0.995,0.74265,0.62578,0.6739,0.87736,0.000339673,0.000339673,0.000339673
79,1173.54,0.49798,0.55841,0.83337,0.98001,0.99246,0.995,0.69598,0.65068,0.67187,0.88129,0.000325526,0.000325526,0.000325526
80,1189.02,0.49688,0.55558,0.83908,0.98071,0.99119,0.995,0.69922,0.64685,0.67814,0.88614,0.000311379,0.000311379,0.000311379
