epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1592.91,0.36518,0.51391,0.80193,0.99609,0.9375,0.935,0.92773,0.28233,0.61527,0.77228,0.000834822,0.000834822,0.000834822
44,1629.41,0.3719,0.47698,0.83429,0.99624,0.9375,0.935,0.9059,0.30815,0.6151,0.77194,0.000820675,0.000820675,0.000820675
45,1665.86,0.38749,0.52914,0.8381,0.99517,0.9375,0.935,0.9146,0.29584,0.61424,0.77199,0.000806528,0.000806528,0.000806528
46,1702.22,0.50408,0.56373,0.8484,0.99124,0.9375,0.935,0.929,0.30531,0.59992,0.77598,0.00079238,0.00079238,0.00079238
47,1739.1,0.35985,0.4889,0.81428,0.99649,0.9375,0.935,0.91943,0.31957,0.62287,0.77417,0.000778233,0.000778233,0.000778233
48,1775.88,0.3286,0.52329,0.72968,0.99674,0.9375,0.935,0.929,0.30264,0.60608,0.7664,0.000764086,0.000764086,0.000764086
49,1812.78,0.36466,0.44218,0.81381,0.99643,0.9375,0.93864,0.92659,0.27048,0.56172,0.76043,0.000749939,0.000749939,0.000749939
50,1849.76,0.32734,0.42328,0.81048,0.99608,0.9375,0.9425,0.91931,0.23429,0.58459,0.75853,0.000735792,0.000735792,0.000735792
51,1886.47,0.32476,0.43467,0.7989,0.99634,0.9375,0.93821,0.92936,0.26769,0.62513,0.76022,0.000721645,0.000721645,0.000721645
52,1923.07,0.35201,0.42888,0.80681,0.99643,0.9375,0.935,0.92121,0.29373,0.60799,0.76205,0.000707498,0.000707498,0.000707498
53,1959.23,0.37442,0.44169,0.80735,0.99651,0.9375,0.935,0.929,0.27442,0.55298,0.7595,0.000693351,0.000693351,0.000693351
54,1996.06,0.34093,0.41998,0.79832,0.99641,0.9375,0.935,0.935,0.25954,0.60839,0.7594,0.000679204,0.000679204,0.000679204
55,2032.89,0.34215,0.39769,0.79702,0.9962,0.9375,0.935,0.929,0.2617,0.60035,0.75975,0.000665057,0.000665057,0.000665057
56,2070.6,0.37502,0.4227,0.83491,0.99659,0.9375,0.95245,0.94296,0.24544,0.55691,0.75684,0.000650909,0.000650909,0.000650909
57,2107.62,0.30183,0.38374,0.80549,0.99655,0.9375,0.9542,0.93757,0.25974,0.53208,0.75875,0.000636762,0.000636762,0.000636762
58,2144.88,0.3444,0.40778,0.81011,0.9965,0.9375,0.95633,0.95207,0.24973,0.51668,0.75725,0.000622615,0.000622615,0.000622615
59,2181.77,0.33328,0.39582,0.81743,0.99653,0.9375,0.97056,0.967,0.25313,0.503,0.75798,0.000608468,0.000608468,0.000608468
60,2218.71,0.29288,0.40948,0.80209,0.99657,0.9375,0.9681,0.96479,0.22299,0.46941,0.75523,0.000594321,0.000594321,0.000594321
61,2255.57,0.30745,0.3859,0.81305,0.99669,0.9375,0.95962,0.95715,0.23056,0.48457,0.75573,0.000580174,0.000580174,0.000580174
62,2292.78,0.33191,0.38446,0.80793,0.99635,0.9375,0.96167,0.95033,0.24345,0.51955,0.7594,0.000566027,0.000566027,0.000566027
63,2329.37,0.32291,0.36371,0.8047,0.99521,0.9375,0.98071,0.97014,0.24325,0.45545,0.75712,0.00055188,0.00055188,0.00055188
64,2367.61,0.34244,0.3912,0.80884,0.99631,0.9375,0.94955,0.93918,0.25582,0.49514,0.75566,0.000537733,0.000537733,0.000537733
65,2407.74,0.29705,0.35865,0.78633,0.99649,0.9375,0.935,0.929,0.23717,0.47915,0.75422,0.000523586,0.000523586,0.000523586
66,2445.71,0.30329,0.36718,0.80612,0.99609,0.9375,0.935,0.929,0.22951,0.50708,0.75658,0.000509438,0.000509438,0.000509438
67,2484.93,0.31344,0.36456,0.81133,0.99385,0.9375,0.935,0.91169,0.25238,0.50176,0.75876,0.000495291,0.000495291,0.000495291
68,2523.89,0.31173,0.35758,0.80431,0.99586,0.9375,0.935,0.929,0.24719,0.46973,0.75825,0.000481144,0.000481144,0.000481144
69,2563.33,0.31424,0.35659,0.79903,0.99643,0.9375,0.935,0.929,0.24379,0.45768,0.75654,0.000466997,0.000466997,0.000466997
70,2601.3,0.27986,0.33818,0.79416,0.99669,0.9375,0.935,0.929,0.22854,0.45295,0.75312,0.00045285,0.00045285,0.00045285
71,2638.15,0.29084,0.3542,0.80588,0.9967,0.9375,0.935,0.929,0.24849,0.47888,0.7569,0.000438703,0.000438703,0.000438703
72,2674.21,0.31562,0.34787,0.80485,0.99662,0.9375,0.935,0.929,0.23282,0.43634,0.75389,0.000424556,0.000424556,0.000424556
73,2710.02,0.30252,0.38046,0.79444,0.99668,0.9375,0.935,0.935,0.24011,0.44583,0.75433,0.000410409,0.000410409,0.000410409
